Teams,Odd1,Odd2,Odd3,Stake 1,Stake 2,Stake 3,Total Payout,Profit
MoroccoUSA,2.22,3.35,3.35,43.003851091142494,28.49807445442876,28.49807445442876,95.46854942233634,-4.531450577663662
JapanSpain,4.1,3.4,1.96,23.268156424581008,28.058659217877096,48.673184357541906,95.39944134078212,-4.6005586592178815
EgyptParaguay,3.1,3.3,2.35,30.688563514048276,28.82865057380293,40.48278591214879,95.13454689354965,-4.865453106450346
1. FC CologneHamburger SV,2.27,3.55,3.05,41.9516069664271,26.825393750363244,31.222999283209678,95.23014781378951,-4.7698521862104855
FranceArgentina,2.15,3.3,3.55,44.30367779143425,28.864517348964736,26.83180485960102,95.25290725158362,-4.747092748416378
Gold Coast KnightsMoreton City Excelsior FC,1.62,4.5,3.7,55.62236921226699,20.024052916416117,24.3535778713169,90.10823812387252,-9.891761876127475
Lions FCOlympic FC Brisbane,1.15,7.2,10.0,78.44846371758553,12.529962954892133,9.021573327522335,90.21573327522334,-9.784266724776657
Preston Lions FCMelbourne City FC,1.64,4.3,3.75,54.98346233845944,20.970436798854298,24.04610086268626,90.17287823507347,-9.827121764926531
Shillong Lajong FCNepal Army Club,1.39,4.5,6.0,64.91164803461955,20.050486837360257,15.037865128020194,90.22719076812116,-9.772809231878838
Adelaide UniversityWest Adelaide,20.0,11.5,1.02,4.474878876893146,7.7823980467706875,87.74272307633618,89.49757753786292,-10.502422462137076
UD Las PalmasAl-Shabab FC (SA),1.57,3.7,4.9,57.31537683358624,24.320308548305512,18.364314618108246,89.9851416287304,-10.014858371269597
England SRLSwitzerland SRL,2.02,3.65,2.92,44.53935326418548,24.649176327028673,30.811470408785848,89.96949359365466,-10.030506406345339
Oman SrlAustralia SRL,3.35,3.1,2.05,26.919411204066506,29.090331462458966,43.99025733347454,90.18002753362279,-9.819972466377209
SlovakiaArmenia Srl,2.2,3.25,2.85,40.835445828281706,27.642455637606083,31.522098534112196,89.83798082221976,-10.162019177780238
Qingdao West Coast FCCangzhou Mighty Lions,1.62,3.95,4.2,55.6842211257678,22.837579297150338,21.478199577081867,90.20843822374384,-9.79156177625616
Geylang International FCHougang United FC,1.25,7.2,5.7,71.79218053004462,12.463920230910523,15.74389923904487,89.74022566255577,-10.259774337444227
FC EmmenFC Den Bosch,1.53,4.3,4.4,58.70125034904285,20.88672396140362,20.412025689553538,89.81291303403556,-10.18708696596444
Jong Ajax AmsterdamFC Volendam,3.7,4.3,1.64,24.292111608680674,20.90251464002756,54.80537375129177,89.8808129521185,-10.119187047881496
Aktobe ReserveFK Ekibastuz,4.6,4.8,1.46,19.57323204111273,18.757680706066363,61.66908725282092,90.03686738911854,-9.963132610881459
FC OkzhetpesFK Akzhaiyk Uralsk,1.14,7.0,11.5,79.24008268530369,12.904813465892312,7.855103848804017,90.3336942612462,-9.666305738753806
